,address,area,bedrooms,bathrooms,price,floors,street,street_Ao Sen,street_Biên Giang,street_Bà Triệu,street_Bạch Thái Bưởi,street_Bắc,street_Bế Văn Đàn,street_Chiến Thắng,street_Chợ,street_Cầu Am,street_Cầu Đơ 1,street_Dương Nội,street_Hoàng Hoa Thám,street_Hà Trì,street_Kiến Hưng,street_Làng Việt Kiều Châu Âu,street_Lê Hồng Phong,street_Lê Quý Đôn,street_Lê Trọng Tấn,street_Lụa,street_Mậu Lương,street_Mỗ Lao,street_Nguyễn Khuyến,street_Nguyễn Thái Học,street_Nguyễn Trãi,street_Nguyễn Viết Xuân,street_Nguyễn Văn Lộc,street_Nguyễn Văn Trỗi,street_Ngô Quyền,street_Ngô Thì Nhậm,street_Nhuệ Giang,street_Phan Chu Trinh,street_Phan Đình Giót,street_Phùng Hưng,street_Phú Lãm,street_Phú Lương,street_Quang Trung,street_Thanh Bình,street_Thanh Lãm,street_Trần Phú,street_Trần Đăng Ninh,street_Tô Hiệu,street_Văn Khê,street_Văn Phú,street_Văn Quán,street_Văn Yên,street_Vạn Phúc,street_Xa La,street_Xốm,street_Yên Nghĩa,street_Yên Phúc,street_Yết Kiêu,street_Đa Sỹ,street_Đại An,street_Đất
75,"Quận Hà Đông, Hà Nội",522.0,4,4,7900000000.0,9.0,Nguyễn Trãi,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,"Quận Hà Đông, Hà Nội",302.0,3,3,2900000000.0,5.0,Biên Giang,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,"Quận Hà Đông, Hà Nội",352.0,4,3,13000000000.0,13.0,Chiến Thắng,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,"Quận Hà Đông, Hà Nội",472.0,6,4,13700000000.0,5.0,Phan Đình Giót,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,"Quận Hà Đông, Hà Nội",302.0,3,4,6650000000.0,5.0,Vạn Phúc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
93,"Quận Hà Đông, Hà Nội",422.0,4,3,10650000000.0,65.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,"Quận Hà Đông, Hà Nội",782.0,3,3,8900000000.0,9.0,Văn Quán,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
96,"Quận Hà Đông, Hà Nội",332.0,4,3,4700000000.0,6.0,Quang Trung,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,"Quận Hà Đông, Hà Nội",482.0,3,3,8600000000.0,2.0,Yết Kiêu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
100,"Quận Hà Đông, Hà Nội",462.0,4,4,7300000000.0,5.0,Văn Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
103,"Quận Hà Đông, Hà Nội",402.0,4,3,7800000000.0,8.0,Chiến Thắng,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,"Quận Hà Đông, Hà Nội",402.0,4,4,6900000000.0,4.0,Tô Hiệu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
108,"Quận Hà Đông, Hà Nội",352.0,4,3,5900000000.0,5.0,Quang Trung,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,"Quận Hà Đông, Hà Nội",502.0,1,1,14000000000.0,14.0,Văn Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
110,"Quận Hà Đông, Hà Nội",322.0,3,3,6000000000.0,5.0,Ngô Quyền,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,"Quận Hà Đông, Hà Nội",522.0,5,3,4250000000.0,4.0,Yên Nghĩa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
116,"Quận Hà Đông, Hà Nội",352.0,4,3,5950000000.0,4.0,Chợ,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,"Quận Hà Đông, Hà Nội",922.0,2,2,0.0,4.0,Quang Trung,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,"Quận Hà Đông, Hà Nội",212.0,2,2,4890000000.0,4.0,Nguyễn Thái Học,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,"Quận Hà Đông, Hà Nội",342.0,3,3,6800000000.0,5.0,Phan Đình Giót,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,"Quận Hà Đông, Hà Nội",1362.0,4,3,5850000000.0,85.0,Đa Sỹ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
123,"Quận Hà Đông, Hà Nội",472.0,7,6,10000000000.0,5.0,Quang Trung,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,"Quận Hà Đông, Hà Nội",952.0,20,20,15000000000.0,7.0,Văn Quán,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
